_row_id,policy_number,claim_id,claim_date,incident_date,claimant_name,claim_type,claim_amount,deductible,payout_amount,claim_status,adjuster_id,loss_ratio,premium_paid,coverage_start,notes
11,POL-AUTO-2025-00300,ADM-2026-00011,2026-01-20,N/A,Lisa Anderson,premium_refund,0.00,0.00,-450.00,processed,ADJ-ADMIN,N/A,-450.00,2025-09-01,Policy cancelled mid-term. Pro-rata refund of unearned premium
12,TREATY-2025-XOL-001,RI-2026-00001,2026-01-21,2025-10-15,Swiss Re Treaty Recovery,reinsurance_recovery,-2500000.00,0.00,-2500000.00,closed,ADJ-RI-TEAM,N/A,N/A,2025-01-01,XOL treaty recovery for Hurricane Milton losses exceeding $5M retention
13,POL-HOME-2024-00500,CLM-2026-CAT-001-SUPP,2026-01-22,2025-10-15,Thomas Martinez,homeowner_water,35000.00,0.00,35000.00,open,ADJ-CAT-TEAM,0.58,5000.00,2024-01-01,SUPPLEMENTAL: Additional water damage found during roof repair. No addl deductible
14,POL-AUTO-2025-00400,CLM-2026-00001,2026-01-22,2026-01-21,Chris Taylor,auto_comprehensive,3500.00,250.00,3250.00,closed,ADJ-105,0.72,1500.00,2025-04-01,Claim ID collision with row 1 - system migration error
15,POL-AUTO-2025-00450,CLM-2026-00015,2026-01-23,2026-01-22,Amanda White,auto_glass,89.99,0.00,89.99,auto_approved,SYSTEM-AUTO,0.10,1100.00,2025-05-01,Auto-approved: Below $100 threshold. No adjuster review needed
16,POL-AUTO-2025-00500,CLM-2026-00016,2026-01-24,2026-01-23,Kevin Moore,auto_collision,3200.00,500.00,2700.00,closed,ADJ-101,0.56,1400.00,2025-07-01,
17,POL-HOME-2024-00600,CLM-2026-00017,2026-01-24,2026-01-22,Nancy Lee,homeowner_theft,8500.00,1000.00,7500.00,closed,ADJ-102,1.50,2200.00,2024-08-01,
18,POL-AUTO-2025-00550,CLM-2026-00018,2026-01-25,2026-01-24,Brian Clark,auto_collision,5800.00,500.00,5300.00,closed,ADJ-103,0.88,1350.00,2025-02-01,
19,POL-HOME-2024-00700,CLM-2026-00019,2026-01-25,2026-01-20,Dorothy Hall,homeowner_water,4200.00,1000.00,3200.00,closed,ADJ-104,0.64,2800.00,2024-05-01,
20,POL-AUTO-2025-00600,CLM-2026-00020,2026-01-26,2026-01-25,Ronald King,auto_comprehensive,2100.00,250.00,1850.00,closed,ADJ-105,0.41,1500.00,2025-08-01,
21,POL-HOME-2024-00800,CLM-2026-00021,2026-01-26,2026-01-18,Karen Wright,homeowner_liability,15000.00,0.00,15000.00,closed,ADJ-101,1.88,3200.00,2024-09-01,
22,POL-AUTO-2025-00650,CLM-2026-00022,2026-01-27,2026-01-26,Steven Hill,auto_collision,7200.00,1000.00,6200.00,closed,ADJ-102,1.03,1600.00,2025-03-01,
23,POL-AUTO-2025-00700,CLM-2026-00023,2026-01-27,2026-01-26,Michelle Green,auto_collision,4100.00,500.00,3600.00,closed,ADJ-103,0.72,1300.00,2025-06-01,
24,POL-HOME-2024-00900,CLM-2026-00024,2026-01-28,2026-01-25,Edward Baker,homeowner_fire,55000.00,2500.00,52500.00,closed,ADJ-104,2.19,4800.00,2024-04-01,
25,POL-AUTO-2025-00750,CLM-2026-00025,2026-01-28,2026-01-27,Susan Nelson,auto_glass,450.00,0.00,450.00,closed,ADJ-105,0.30,1200.00,2025-09-01,
