_row_id,customer_id,amount,signup_date,is_active,segment,notes,discount_pct,last_login,region,account_balance,flag,email,phone,zip,meta_json
38,INJECT-038,700.00,2026-02-17,false,smb,very long region value,0.04,2026-02-17,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,700.00,false,inj38@test.com,555-0038,10038,"{""tier"":""gold""}"
39,INJECT-039,800.00,2026-02-18,true,enterprise,../../../etc/passwd,0.05,2026-02-18,eu,800.00,true,inj39@test.com,555-0039,10039,"{""tier"":""silver""}"
40,INJECT-040,900.00,2026-02-18,false,smb,"line1
line2
line3",0.03,2026-02-18,apac,900.00,false,inj40@test.com,555-0040,10040,"{""tier"":""bronze""}"
41,TYPE-041,555-0100,2026-02-19,true,enterprise,amount looks like phone,0.05,2026-02-19,eu,1-800-555-0199,true,type41@test.com,555-0041,10041,"{""tier"":""gold""}"
42,TYPE-042,01/15/2026,2026-02-19,false,smb,amount looks like date,0.04,2026-02-19,apac,12-31-2025,false,type42@test.com,555-0042,10042,"{""tier"":""silver""}"
43,TYPE-043,true,2026-02-20,true,enterprise,boolean in amount field,0.05,2026-02-20,eu,false,true,type43@test.com,555-0043,10043,"{""tier"":""bronze""}"
44,TYPE-044,007,2026-02-20,false,smb,leading zeros octal trap,0.03,2026-02-20,apac,010,false,type44@test.com,555-0044,10044,"{""tier"":""gold""}"
45,TYPE-045,500.00,2026-02-21,true,enterprise,zip with leading zero,0.05,2026-02-21,eu,500.00,true,type45@test.com,555-0045,02134,"{""tier"":""silver""}"
46,TYPE-046,0xFF,2026-02-21,false,smb,hex amount,0.04,2026-02-21,apac,0xDEAD,false,type46@test.com,555-0046,10046,"{""tier"":""bronze""}"
47,TYPE-047,0b1010,2026-02-22,true,enterprise,binary amount,0.05,2026-02-22,eu,0b11111111,true,type47@test.com,555-0047,10047,"{""tier"":""gold""}"
48,TYPE-048,XIV,2026-02-22,false,smb,roman numeral amount,0.03,2026-02-22,apac,MCMXCIX,false,type48@test.com,555-0048,10048,"{""tier"":""silver""}"
49,TYPE-049,one thousand,2026-02-23,true,enterprise,written number words,0.05,2026-02-23,eu,five hundred,true,type49@test.com,555-0049,10049,"{""tier"":""bronze""}"
50,TYPE-050,about 500,2026-02-23,false,smb,text mixed with number,roughly 5%,2026-02-23,apac,approx 1000,false,type50@test.com,555-0050,10050,"{""tier"":""gold""}"
0,KEY-051,1500.00,2026-02-24,true,enterprise,row_id zero,0.05,2026-02-24,eu,2000.00,true,key51@test.com,555-0051,10051,"{""tier"":""silver""}"
2147483647,KEY-052,1600.00,2026-02-24,false,smb,row_id max int,0.04,2026-02-24,apac,2100.00,false,key52@test.com,555-0052,10052,"{""tier"":""bronze""}"
53,KEY|053|PIPE,1700.00,2026-02-25,true,enterprise,pipe in customer_id,0.05,2026-02-25,eu,2200.00,true,key53@test.com,555-0053,10053,"{""tier"":""gold""}"
54,550e8400-e29b-41d4-a716-446655440000,1800.00,2026-02-25,false,smb,UUID customer_id,0.03,2026-02-25,apac,2300.00,false,key54@test.com,555-0054,10054,"{""tier"":""silver""}"
55,ORG/DEPT/USER/55,1900.00,2026-02-26,true,enterprise,slashes in customer_id,0.05,2026-02-26,eu,2400.00,true,key55@test.com,555-0055,10055,"{""tier"":""bronze""}"
56,KEY-056,1000.00,2026-02-26,null,smb,string null in boolean,0.04,2026-02-26,apac,1500.00,null,key56@test.com,555-0056,10056,"{""tier"":""gold""}"
57,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1100.00,2026-02-27,true,enterprise,1000-char customer_id,0.05,2026-02-27,eu,1600.00,true,key57@test.com,555-0057,10057,"{""tier"":""silver""}"
58, ,1200.00,2026-02-27,false,smb,single space customer_id,0.03,2026-02-27,apac,1700.00,false,key58@test.com,555-0058,10058,"{""tier"":""bronze""}"
21,STAT-021,42.00,2026-02-11,true,enterprise,identical amount block,0.05,2026-02-11,eu,42.00,true,stat21@test.com,555-0021,10021,"{""tier"":""gold""}"
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,CLEAN-061,5000.00,2026-01-05,true,enterprise,clean row,0.05,2026-01-10,eu,8000.00,true,clean61@test.com,555-0061,10061,"{""tier"":""gold""}"
62,CLEAN-062,5500.00,2026-01-06,false,smb,clean row,0.04,2026-01-11,apac,8500.00,false,clean62@test.com,555-0062,10062,"{""tier"":""silver""}"
63,CLEAN-063,6000.00,2026-01-07,true,enterprise,clean row,0.05,2026-01-12,eu,9000.00,true,clean63@test.com,555-0063,10063,"{""tier"":""bronze""}"
64,CLEAN-064,6500.00,2026-01-08,false,smb,clean row,0.03,2026-01-13,apac,9500.00,false,clean64@test.com,555-0064,10064,"{""tier"":""gold""}"
65,CLEAN-065,7000.00,2026-01-09,true,enterprise,clean row,0.05,2026-01-14,eu,10000.00,true,clean65@test.com,555-0065,10065,"{""tier"":""silver""}"
